,Age,CapitalGain,CapitalLoss,HoursPerWeek,Work-Class,Education,Marital_status,Ocupation,Relationship,Race,Sex,Country,prediction
10608,28,0,0,40, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,0
29156,37,0,0,40, Federal-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
17690,31,0,0,50, Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0
8850,33,0,0,15, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
31841,36,0,0,40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, United-States,0
23832,27,0,0,40, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, Philippines,0
11812,33,0,0,45, Private, Bachelors, Separated, Exec-managerial, Not-in-family, Black, Female, United-States,0
14134,35,0,0,40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States,0
24185,47,6497,0,40, Private, Bachelors, Widowed, Craft-repair, Unmarried, Black, Female, United-States,1
23885,40,0,0,40, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0
2762,51,0,0,45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
1686,43,0,0,45, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female, United-States,0
16110,18,0,1721,20, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
16099,35,0,0,45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
21316,45,0,0,45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
22167,39,0,0,12, Private, Preschool, Never-married, Other-service, Not-in-family, White, Female, United-States,0
18021,54,0,0,48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
11430,31,0,0,25, ?, 9th, Divorced, ?, Not-in-family, White, Female, United-States,0
25109,35,0,0,50, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0
32523,30,0,0,55, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0
22995,59,0,0,40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
8042,22,0,1602,30, ?, HS-grad, Never-married, ?, Own-child, Black, Male, United-States,0
15039,29,0,0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, Scotland,0
8572,35,0,0,40, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, Vietnam,0
19089,58,0,0,40, Federal-gov, Some-college, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female, United-States,0
19293,51,0,0,40, Private, HS-grad, Separated, Adm-clerical, Other-relative, White, Female, United-States,0
10621,38,7298,0,50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
17556,25,0,0,40, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female, United-States,0
12262,57,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, South,0
20955,40,0,0,36, Private, 11th, Separated, Machine-op-inspct, Not-in-family, Black, Male, United-States,0
10277,25,0,1590,40, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States,0
15748,56,0,0,40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
30013,38,0,0,60, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
6392,33,10520,0,40, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Male, United-States,1
23732,32,0,0,40, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
29077,33,0,0,60, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
4803,27,0,0,35, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, Philippines,0
29878,27,0,0,45, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
18838,29,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
16518,49,0,0,40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
28458,23,0,0,40, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
20957,27,0,0,40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
17644,61,99999,0,30, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male, United-States,1
29191,28,0,0,35, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female, United-States,0
12393,41,0,0,70, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
8150,45,0,0,60, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
7814,26,0,0,50, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
11258,32,0,0,20, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0
16758,38,3103,0,40, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
9421,45,0,0,55, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female, United-States,0
26675,47,14084,0,38, Private, HS-grad, Separated, Prof-specialty, Other-relative, Black, Female, United-States,1
13146,51,0,0,26, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
20453,37,0,0,20, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Female, Puerto-Rico,0
15235,28,0,0,15, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0
20265,28,0,155,40, Private, 10th, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States,0
29675,20,0,0,20, Self-emp-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
15762,36,0,0,40, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female, China,0
3943,49,0,0,35, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female, United-States,0
23567,48,0,0,60, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
19278,27,0,0,28, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male, Guatemala,0
20763,25,0,0,40, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
6149,39,0,0,50, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
18445,36,0,0,40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
31350,27,0,0,40, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male, United-States,0
27566,56,0,0,45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7004,61,0,0,40, Self-emp-not-inc, HS-grad, Widowed, Other-service, Other-relative, White, Female, United-States,0
19513,50,0,0,40, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male, Puerto-Rico,0
7247,36,0,0,50, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male, United-States,0
9376,42,0,0,40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
8088,54,0,0,40, ?, Preschool, Married-civ-spouse, ?, Wife, White, Female, Mexico,0
9294,45,0,0,40, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
12259,35,0,0,40, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male, Puerto-Rico,0
22454,67,0,0,40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
3738,27,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
16830,26,0,0,48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
22335,39,7688,0,20, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
6517,24,0,0,49, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female, United-States,0
19903,18,0,0,40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,0
4904,17,0,0,30, Private, 10th, Never-married, Other-service, Own-child, White, Male, United-States,0
1840,23,0,0,44, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
31186,41,0,0,43, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0
26946,50,0,0,48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
24313,40,0,0,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
28159,62,0,0,40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
28364,54,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
20725,39,0,1977,62, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
31323,23,0,0,40, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
16482,42,0,0,45, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
16905,62,0,0,25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
6242,27,0,0,48, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, ?,0
24366,26,0,0,40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
17713,21,0,0,35, Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States,0
21408,60,0,0,40, Self-emp-inc, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
32482,32,0,0,40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
30776,17,0,0,20, ?, 11th, Never-married, ?, Own-child, White, Female, United-States,0
8496,21,0,0,40, Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
1602,22,0,0,20, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female, United-States,0
10905,74,0,0,40, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,0
7808,38,0,0,40, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, Philippines,1
18601,24,0,1408,50, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States,0
23694,36,0,0,40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
486,63,0,0,35, ?, 1st-4th, Married-civ-spouse, ?, Husband, White, Male, United-States,0
2795,34,0,0,40, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female, United-States,0
23459,83,20051,0,50, Self-emp-inc, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,1
31976,40,0,0,50, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,0
9053,50,0,0,55, Private, HS-grad, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female, United-States,0
6661,51,4386,0,40, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
11251,29,0,0,40, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
1545,27,0,0,40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
21708,42,0,0,40, Private, Some-college, Separated, Machine-op-inspct, Unmarried, Black, Female, United-States,0
10313,64,0,0,40, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
31128,56,0,0,35, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?,1
14307,41,0,0,38, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
14125,30,0,0,40, Private, 12th, Divorced, Other-service, Not-in-family, White, Female, United-States,0
16442,25,0,0,60, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, England,0
16945,25,7688,0,40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
6443,21,0,0,40, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
9022,45,0,0,50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
28797,45,0,0,40, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States,0
21304,32,0,0,40, Private, 10th, Separated, Craft-repair, Unmarried, White, Female, United-States,0
13681,37,0,0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
29631,31,0,0,40, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, India,1
29593,37,0,0,50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4306,30,0,0,40, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
8693,45,0,0,50, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States,0
29789,26,0,0,55, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
22422,71,0,0,45, ?, 7th-8th, Divorced, ?, Unmarried, White, Male, United-States,0
16338,38,0,0,60, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male, United-States,0
16358,50,0,0,50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,1
22969,44,15024,0,75, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
19505,23,0,0,60, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
16804,42,0,0,22, Self-emp-not-inc, HS-grad, Separated, Other-service, Not-in-family, White, Female, United-States,0
18902,68,0,0,10, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
21820,27,0,0,60, Private, HS-grad, Never-married, Sales, Own-child, Black, Male, United-States,0
28717,70,0,0,24, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
14039,35,0,0,40, Self-emp-inc, Assoc-acdm, Never-married, Sales, Own-child, White, Male, United-States,0
9295,36,0,0,70, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,1
1479,33,0,0,35, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, White, Male, United-States,0
2791,55,0,0,40, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
9932,28,0,0,40, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
20643,45,0,0,40, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States,0
24404,17,0,0,10, Private, 10th, Never-married, Other-service, Own-child, White, Female, United-States,0
25194,28,0,0,45, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
27633,32,0,0,56, Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, England,1
6404,20,0,0,70, Self-emp-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
20252,39,3103,0,50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
30057,71,0,0,35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male, United-States,0
1025,56,0,0,50, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Yugoslavia,1
15812,38,0,0,32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
11682,56,0,0,50, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, United-States,1
6240,21,0,0,35, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male, United-States,0
13971,45,0,0,38, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, ?,1
12969,23,0,0,40, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
24994,52,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
2678,31,0,0,45, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female, United-States,0
1242,36,0,0,40, State-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female, United-States,0
14220,41,0,2415,55, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
29058,33,0,0,45, Private, 10th, Divorced, Other-service, Unmarried, White, Female, United-States,0
9513,24,0,0,30, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male, United-States,0
29795,17,0,0,20, Private, 11th, Never-married, Other-service, Other-relative, White, Female, United-States,0
8776,55,0,0,60, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
12441,50,4416,0,45, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States,1
9696,45,0,0,40, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Black, Female, United-States,0
3831,48,0,1485,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
30831,36,15024,0,50, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
25447,30,0,0,40, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Female, United-States,0
17293,66,0,0,50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
11996,90,0,0,55, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,1
13653,38,0,0,40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
7554,34,0,0,25, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States,0
21812,82,0,0,8, ?, Assoc-voc, Widowed, ?, Not-in-family, White, Female, United-States,0
1517,59,2885,0,30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1
13017,27,0,0,40, Private, Some-college, Divorced, Sales, Unmarried, White, Female, Peru,0
27548,19,0,0,40, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0
12753,55,0,0,40, Private, HS-grad, Widowed, Sales, Unmarried, White, Female, United-States,0
18003,30,0,0,40, Federal-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, Black, Female, United-States,0
28196,32,4508,0,40, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male, ?,1
2792,34,6849,0,55, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States,1
3350,25,0,0,40, Private, HS-grad, Married-spouse-absent, Farming-fishing, Not-in-family, Other, Male, Mexico,0
14206,49,0,0,40, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male, United-States,1
16657,34,0,0,50, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
15952,23,0,0,25, Private, Bachelors, Never-married, Sales, Own-child, Black, Female, United-States,0
8465,38,0,0,40, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Female, United-States,0
5179,49,0,0,50, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
32201,49,0,0,60, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female, United-States,1
19085,76,0,0,40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
3375,21,0,0,54, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
14902,33,0,0,32, Private, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0
16912,26,0,0,40, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0
13878,18,0,0,25, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States,0
2460,38,4386,0,40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
32190,34,0,0,40, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
2524,65,0,0,40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
28376,49,0,0,16, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
3165,27,0,0,40, Private, 10th, Married-civ-spouse, Exec-managerial, Wife, White, Female, Mexico,0
9834,29,0,0,40, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female, United-States,0
28531,24,0,0,40, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0
26859,26,0,0,40, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0
6453,42,14084,0,60, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,1
23218,23,0,0,12, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,0
13644,47,0,0,40, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male, United-States,1
3615,30,0,0,40, Private, Some-college, Divorced, Tech-support, Own-child, White, Female, United-States,0
13304,60,0,0,40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
26349,25,0,0,40, Private, HS-grad, Never-married, Sales, Own-child, White, Female, Columbia,0
32526,32,0,0,40, Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
27835,32,0,0,50, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male, United-States,0
12169,25,0,0,35, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, Italy,0
21602,45,0,0,40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States,1
13273,33,0,0,60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
28208,64,0,0,40, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
1984,60,7688,0,50, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
21776,55,0,0,40, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,0
20970,20,0,0,40, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
30336,54,0,0,40, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
10759,37,0,0,40, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
30294,25,0,0,45, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
14611,71,0,0,40, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,1
22774,28,0,0,35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, Canada,0
30949,24,0,0,40, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Other, Female, United-States,0
22062,62,0,0,40, Local-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,1
17787,41,0,0,50, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
9302,64,0,0,40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
4158,46,0,0,28, Private, HS-grad, Divorced, Priv-house-serv, Unmarried, White, Female, Ecuador,0
6215,23,0,0,40, Private, HS-grad, Never-married, Sales, Own-child, White, Male, United-States,0
30243,47,0,0,50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male, United-States,0
30961,26,0,1848,60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,1
17436,39,5178,0,50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
20251,52,0,0,40, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
30594,24,0,0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
7445,34,0,0,50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
12055,55,0,1617,40, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States,0
28503,21,0,0,24, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States,0
9019,56,0,0,48, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
19688,56,0,0,40, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,1
14826,56,0,0,40, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,1
14649,24,0,0,36, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female, United-States,0
4714,22,0,0,13, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female, United-States,0
11229,32,0,1876,50, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,1
20877,48,0,0,35, ?, 10th, Married-civ-spouse, ?, Wife, Black, Female, United-States,0
6133,46,0,0,40, Federal-gov, Some-college, Divorced, Tech-support, Not-in-family, White, Male, United-States,0
19594,44,0,0,40, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Own-child, White, Male, United-States,0
19162,44,0,0,40, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States,0
26140,36,0,0,60, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
17605,29,0,0,42, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male, United-States,0
6824,27,0,0,40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
18199,31,0,0,50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
7298,21,0,0,30, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Male, United-States,0
1679,32,0,0,40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
22078,39,0,0,40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
16884,23,0,0,45, Private, Bachelors, Never-married, Tech-support, Not-in-family, Black, Female, United-States,0
8876,18,0,0,11, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
24225,29,0,0,45, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male, Mexico,0
15269,62,0,0,38, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, United-States,0
12970,48,0,0,40, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
16893,54,0,0,40, Local-gov, 9th, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
20547,33,0,0,50, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Other, Male, United-States,0
5176,25,0,0,26, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male, United-States,0
878,39,0,0,40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
26459,34,0,0,38, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7198,64,3137,0,40, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
22348,51,0,0,40, ?, 1st-4th, Separated, ?, Unmarried, White, Female, Mexico,0
27328,31,0,0,50, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0
12089,39,0,0,35, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
23154,34,0,0,40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
3263,31,0,0,43, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
13261,22,0,0,40, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
